20117	Green Bay Packers	$89,793,196	$82,373,774	$179,118,220
20118	Washington Redskins	$100,499,052	$74,276,506	$177,892,558
20119	Denver Broncos	$70,834,831	$99,507,706	$175,754,872
201110	Buffalo Bills	$91,587,617	$78,682,875	$175,564,659
201111	Miami Dolphins	$78,108,822	$93,127,656	$174,516,840
201112	Cincinnati Bengals	$81,455,885	$85,749,365	$173,855,250
201113	Indianapolis Colts	$90,669,504	$75,201,597	$173,221,101
201114	New York Giants	$73,267,922	$92,972,478	$172,480,400
201115	Arizona Cardinals	$87,111,248	$81,833,296	$172,275,044
201116	Houston Texans	$81,080,597	$85,845,905	$171,206,502
201117	Minnesota Vikings	$81,530,451	$81,908,904	$168,275,403
201118	Oakland Raiders	$80,592,079	$78,054,184	$167,732,930
201119	Baltimore Ravens	$86,900,882	$69,971,903	$165,982,785
201120	Tampa Bay Buccaneers	$75,760,610	$84,416,609	$164,020,361
201121	New Orleans Saints	$89,795,073	$67,157,489	$163,621,312
201122	Tennessee Titans	$76,802,863	$79,467,093	$163,360,289
201123	San Diego Chargers	$98,479,284	$62,434,605	$162,905,262
201124	New England Patriots	$99,879,175	$55,710,935	$162,543,443
201125	Los Angeles Rams	$68,047,107	$81,698,904	$155,937,261
201126	Atlanta Falcons	$93,603,756	$54,571,998	$154,931,337
201127	Chicago Bears	$80,150,560	$67,990,637	$153,712,524
201128	Carolina Panthers	$84,423,448	$63,121,124	$153,179,572
201129	San Francisco 49ers	$78,698,916	$67,869,729	$151,881,195
201130	Detroit Lions	$72,897,911	$70,207,959	$148,811,034
201131	Pittsburgh Steelers	$80,499,575	$62,044,167	$145,153,742
201132	Cleveland Browns	$67,055,668	$70,652,425	$142,623,093
2011
2011
2011
2011
